SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Bachelors	Public Policy	7	297	62675.52182	40894.28571	94000	0	0	0.960187913	0.000370985	0.013013997			0.000378621	0.014128566	0.819040341	0.856213949	Law and public policy
Bachelors	Multidisciplinary or General Science	7	7523	57671.42857	39006.85714	84586.50843	0	0	0.954356978	0.011815962	0.461904233			0.011576613	0.46260283	0.782858566	0.816779482	Physical sciences
Bachelors	Physical Sciences	7	167	60000	40112.33397	83567.36243	0	0	0.95965865	0.000233757	0.009137934			0.000222886	0.008906556	0.820521142	0.827674212	Physical sciences
Bachelors	Astronomy and Astrophysics	7	79	65011.42857	33009.36914	106000	0	0	0.915313107	9.67764E-05	0.003783137			9.54149E-05	0.003812789	0.707678978	0.742562316	Physical sciences
Bachelors	Atmospheric Sciences and Meteorology	7	333	62000	40230.16865	94371.42857	0	0	0.964818112	0.000464739	0.018167374			0.000417353	0.016677493	0.816941514	0.836858849	Physical sciences
Bachelors	Chemistry	7	4904	60586.33776	40894.28571	90000	0	0	0.950130155	0.006518125	0.254803576			0.006374235	0.254715193	0.774848212	0.8282894	Physical sciences
Bachelors	Geology and Earth Science	7	2278	66000	42293.25422	100000	0	0	0.944827611	0.00277924	0.108644788			0.002699198	0.107860259	0.801901276	0.865960475	Physical sciences
Bachelors	Geosciences	7	182	61865.71429	39198.62586	87681.13679	0	0	0.957788375	0.00022975	0.008981275			0.000219693	0.008778954	0.787290089	0.83827265	Physical sciences
Bachelors	Oceanography	7	245	67050.28107	44669.14286	92838.85072	0	0	0.946156716	0.000284428	0.011118733			0.000287443	0.011486269	0.811181017	0.889334732	Physical sciences
Bachelors	Physics	7	1953	73400	41783.68121	111148.5714	0	0	0.951865021	0.00260435	0.101808068			0.002605095	0.104099915	0.770245987	0.824809521	Physical sciences
Bachelors	"Nuclear, Industrial Radiology, and Biological Technologies"	7	443	66018.73829	47450.96815	85656.54649	0	0	0.95489186	0.000553851	0.021650882			0.000527019	0.021059743	0.850405898	0.893431683	Physical sciences
Bachelors	Psychology	7	26166	45962.04934	31977.82636	68157.14286	0	0	0.937501254	0.035996549	0.771621597			0.038384353	0.776204843	0.680278435	0.728986041	Psychology and social work
Bachelors	Industrial and Organizational Psychology	7	326	62914.28571	41261.71143	83885.71429	0	0	0.914932521	0.000424055	0.009090032			0.000449121	0.009082073	0.736907501	0.844083555	Psychology and social work
Bachelors	Social Psychology	7	180	47006.64137	35202.75142	68000	0	0	0.89489766	0.000224186	0.004805649			0.00024743	0.005003499	0.725598296	0.821011223	Psychology and social work
Bachelors	Human Services and Community Organization	7	1625	39000	29248.57685	53640.22486	0	0	0.93046288	0.002178168	0.046691189			0.00225048	0.045509003	0.652563231	0.628851616	Psychology and social work
Bachelors	Social Work	7	5884	40000	30408.57143	52608.68207	0	0	0.945706572	0.007827562	0.167791534			0.008119935	0.164200582	0.660697355	0.67241765	Psychology and social work
Bachelors	Interdisciplinary Social Sciences	7	1138	46419.42536	33426.94497	66000	0	0	0.945797996	0.001443968	0.021226888			0.001533841	0.022461512	0.701094829	0.753112145	Social sciences
Bachelors	General Social Sciences	7	2040	50000	34471.537	73121.44213	0	0	0.938563051	0.002633051	0.038706879			0.002799563	0.040996706	0.705660656	0.768124794	Social sciences
Bachelors	Economics	7	13813	72207.995	44356.33979	113469.7064	0	0	0.947001505	0.01914312	0.281411364			0.018408546	0.269574166	0.815343298	0.86018013	Social sciences
